epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,157.349,0.34196,0.23764,0.84476,0.99901,1,0.995,0.97838,0.33229,0.21371,0.83163,0.0009407,0.0009407,0.0009407
109,158.787,0.32355,0.23369,0.83046,0.99893,1,0.995,0.98059,0.29035,0.1995,0.82332,0.0009308,0.0009308,0.0009308
110,160.244,0.34704,0.24226,0.86671,0.99832,1,0.995,0.96171,0.31496,0.20952,0.82761,0.0009209,0.0009209,0.0009209
111,161.693,0.34478,0.23474,0.85201,0.99881,1,0.995,0.97907,0.29214,0.20193,0.82442,0.000911,0.000911,0.000911
112,163.149,0.32744,0.23671,0.83389,0.9991,1,0.995,0.97315,0.28898,0.18237,0.82045,0.0009011,0.0009011,0.0009011
113,164.593,0.33634,0.24091,0.84856,0.999,1,0.995,0.96897,0.26392,0.20689,0.8192,0.0008912,0.0008912,0.0008912
114,166.039,0.32752,0.22617,0.84338,0.99911,1,0.995,0.9701,0.31115,0.2071,0.82654,0.0008813,0.0008813,0.0008813
115,167.487,0.31332,0.22352,0.84027,0.99896,1,0.995,0.96506,0.2921,0.19018,0.82672,0.0008714,0.0008714,0.0008714
116,168.94,0.33134,0.23042,0.83969,0.99905,1,0.995,0.97137,0.30271,0.21006,0.83403,0.0008615,0.0008615,0.0008615
117,170.38,0.30578,0.21648,0.82996,0.999,1,0.995,0.97866,0.30053,0.18653,0.83189,0.0008516,0.0008516,0.0008516
118,171.83,0.30693,0.21774,0.83969,0.99913,1,0.995,0.96976,0.29282,0.19383,0.82547,0.0008417,0.0008417,0.0008417
119,173.285,0.32358,0.22638,0.84367,0.9991,1,0.995,0.96972,0.2935,0.18675,0.82841,0.0008318,0.0008318,0.0008318
120,174.732,0.32882,0.23681,0.85215,0.99877,1,0.995,0.97952,0.30088,0.19025,0.83095,0.0008219,0.0008219,0.0008219
121,176.169,0.30197,0.21966,0.8401,0.99914,1,0.995,0.97755,0.32467,0.20611,0.83269,0.000812,0.000812,0.000812
122,177.621,0.31955,0.22312,0.84723,0.99919,1,0.995,0.96955,0.28794,0.19737,0.83039,0.0008021,0.0008021,0.0008021
123,179.066,0.3207,0.22271,0.84815,0.99917,1,0.995,0.97433,0.29951,0.20327,0.82864,0.0007922,0.0007922,0.0007922
124,180.52,0.29305,0.21941,0.82707,0.99911,1,0.995,0.97513,0.31109,0.2045,0.83622,0.0007823,0.0007823,0.0007823
125,181.96,0.33065,0.22397,0.84447,0.9991,1,0.995,0.96781,0.31618,0.20709,0.83941,0.0007724,0.0007724,0.0007724
126,183.411,0.31021,0.2194,0.84307,0.9991,1,0.995,0.96317,0.33604,0.21438,0.85456,0.0007625,0.0007625,0.0007625
127,184.853,0.32246,0.22191,0.83542,0.99912,1,0.995,0.95448,0.33459,0.21398,0.84935,0.0007526,0.0007526,0.0007526
128,186.303,0.31189,0.2202,0.83826,0.99901,1,0.995,0.96108,0.318,0.20932,0.84164,0.0007427,0.0007427,0.0007427
129,187.743,0.30887,0.22406,0.82786,0.99897,1,0.995,0.95647,0.33182,0.2211,0.8398,0.0007328,0.0007328,0.0007328
130,189.197,0.31457,0.22353,0.84073,0.99911,1,0.995,0.96361,0.31208,0.2038,0.84029,0.0007229,0.0007229,0.0007229
131,190.641,0.30558,0.22012,0.82291,0.99908,1,0.995,0.95775,0.3369,0.21165,0.83985,0.000713,0.000713,0.000713
132,192.087,0.31701,0.22202,0.8345,0.99907,1,0.995,0.94597,0.33947,0.23506,0.84262,0.0007031,0.0007031,0.0007031
133,193.528,0.30583,0.21714,0.83458,0.99907,1,0.995,0.95114,0.31917,0.20566,0.83462,0.0006932,0.0006932,0.0006932
134,194.978,0.30102,0.21353,0.84105,0.99906,1,0.995,0.95295,0.30867,0.20376,0.83522,0.0006833,0.0006833,0.0006833
135,196.425,0.31247,0.21826,0.85055,0.99915,1,0.995,0.96604,0.32901,0.1956,0.83868,0.0006734,0.0006734,0.0006734
136,197.876,0.30936,0.21529,0.83909,0.99898,1,0.995,0.97736,0.2819,0.19431,0.82813,0.0006635,0.0006635,0.0006635
137,199.324,0.30986,0.20989,0.84526,0.99896,1,0.995,0.97696,0.305,0.18814,0.83024,0.0006536,0.0006536,0.0006536
138,200.764,0.30151,0.21249,0.84103,0.99897,1,0.995,0.97352,0.28295,0.18437,0.82172,0.0006437,0.0006437,0.0006437
139,202.211,0.29089,0.20522,0.81944,0.99905,1,0.995,0.98036,0.27177,0.17711,0.8217,0.0006338,0.0006338,0.0006338
140,203.652,0.3009,0.2119,0.82407,0.99878,1,0.995,0.95787,0.30986,0.18643,0.83028,0.0006239,0.0006239,0.0006239
141,205.095,0.30605,0.21578,0.83702,0.99854,1,0.995,0.96576,0.27212,0.18014,0.82952,0.000614,0.000614,0.000614
142,206.545,0.28873,0.2039,0.81595,0.9991,1,0.995,0.97481,0.30197,0.18,0.8336,0.0006041,0.0006041,0.0006041
143,207.997,0.29671,0.2112,0.83871,0.99915,1,0.995,0.96294,0.31835,0.18289,0.83605,0.0005942,0.0005942,0.0005942
144,209.447,0.30528,0.20943,0.83994,0.99915,1,0.995,0.95892,0.3008,0.17598,0.8308,0.0005843,0.0005843,0.0005843
145,210.892,0.28496,0.20224,0.8249,0.99915,1,0.995,0.97116,0.27803,0.17253,0.82633,0.0005744,0.0005744,0.0005744
146,212.347,0.29887,0.21284,0.84134,0.99915,1,0.995,0.96764,0.29993,0.20051,0.83029,0.0005645,0.0005645,0.0005645
147,213.817,0.30409,0.20759,0.84394,0.99911,1,0.995,0.9684,0.29395,0.19658,0.83096,0.0005546,0.0005546,0.0005546
148,215.267,0.28847,0.19961,0.82686,0.99904,1,0.995,0.95312,0.29373,0.2067,0.82999,0.0005447,0.0005447,0.0005447
149,216.719,0.3009,0.20703,0.84473,0.99912,1,0.995,0.95426,0.29563,0.19844,0.8305,0.0005348,0.0005348,0.0005348
150,218.159,0.29799,0.20597,0.84136,0.99913,1,0.995,0.97014,0.28001,0.20158,0.82973,0.0005249,0.0005249,0.0005249
151,219.612,0.28485,0.20206,0.82603,0.99915,1,0.995,0.97889,0.29589,0.18035,0.8309,0.000515,0.000515,0.000515
152,221.07,0.27991,0.19312,0.83237,0.99915,1,0.995,0.97267,0.2651,0.17224,0.82622,0.0005051,0.0005051,0.0005051
153,222.514,0.2924,0.19941,0.83731,0.99917,1,0.995,0.97237,0.28324,0.18479,0.8257,0.0004952,0.0004952,0.0004952
154,223.957,0.27488,0.19696,0.83558,0.99917,1,0.995,0.97384,0.27852,0.1678,0.82417,0.0004853,0.0004853,0.0004853
155,225.408,0.28352,0.20108,0.83605,0.9991,1,0.995,0.96165,0.29115,0.17039,0.82959,0.0004754,0.0004754,0.0004754
156,226.862,0.29216,0.20532,0.83433,0.99903,1,0.995,0.96854,0.29014,0.17336,0.82904,0.0004655,0.0004655,0.0004655
157,228.301,0.26512,0.18994,0.82593,0.99918,1,0.995,0.96266,0.29084,0.18644,0.82994,0.0004556,0.0004556,0.0004556
158,229.75,0.27801,0.19592,0.82374,0.99918,1,0.995,0.96869,0.27519,0.16871,0.82995,0.0004457,0.0004457,0.0004457
159,231.202,0.29261,0.20423,0.83615,0.99914,1,0.995,0.96469,0.28801,0.17356,0.83335,0.0004358,0.0004358,0.0004358
160,232.655,0.27165,0.19873,0.82066,0.99912,1,0.995,0.97484,0.27497,0.16756,0.83012,0.0004259,0.0004259,0.0004259
