Time,Smoothed_X_Position,Smoothed_X_Speed,Smoothed_X_Control
9.84,1.668722624551928,0.12118814066037764,0
9.88,1.673570150178343,0.1199846328052867,0
9.92,1.6783695354905546,0.11890580613815871,0
9.96,1.683125767736081,0.11797576761001793,0
10.0,1.6878447984404816,0.11718456141180944,0
10.04,1.692532180896954,0.11648570205077258,0
10.08,1.697191608978985,0.11580447426610685,0
10.12,1.7018237879496292,0.11505627911059246,0
10.16,1.7064260391140529,0.1141708916773232,0
10.2,1.7109928747811458,0.11311572049770291,0
10.24,1.715517503601054,0.1119098212479741,0
10.28,1.719993896450973,0.11062224229189677,0
10.32,1.7244187861426488,0.10935349368890179,0
10.36,1.7287929258902048,0.10820480757455231,0
10.4,1.733121118193187,0.10724355248119544,0
10.44,1.7374108602924347,0.10647450682451098,0
10.48,1.7416698405654152,0.10582616763565866,0
10.52,1.7459028872708415,0.10515781517370093,0
10.56,1.7501091998777896,0.10428692403043338,0
10.6,1.754280676839007,0.10303119260518523,0
10.64,1.7584019245432143,0.10125774868751103,0
10.68,1.7624522344907148,0.0989326663040746,0
10.72,1.7664095411428777,0.09616334948081007,0
10.76,1.7702560751221101,0.09322311699340724,0
10.8,1.7739849998018464,0.09054379895508391,0
10.84,1.7776067517600498,0.08866256026412445,0
10.88,1.7811532541706148,0.08811641637245238,0
10.92,1.7846779108255129,0.08929250761549046,0
