epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,441.577,0.61591,0.66956,0.05151,0.3421,0.83904,0.99968,1,0.995,0.86496,0.98963,0.98995,0.98919,0.86364,0.6096,0.59073,0.00565,0.32296,0.82313,0.001604,0.001604,0.001604
102,445.94,0.58339,0.6538,0.04999,0.33285,0.83174,0.99969,1,0.995,0.87668,0.99466,0.99497,0.99485,0.86135,0.57747,0.58688,0.00544,0.30034,0.81629,0.00160004,0.00160004,0.00160004
103,450.321,0.57915,0.68015,0.04473,0.33301,0.83418,0.99968,1,0.995,0.87633,0.98963,0.98995,0.99194,0.86165,0.56933,0.59993,0.00575,0.29265,0.81275,0.00159608,0.00159608,0.00159608
104,454.691,0.58681,0.64259,0.04603,0.33339,0.83054,0.9997,1,0.995,0.88656,0.99468,0.99497,0.99435,0.86898,0.57857,0.55324,0.00418,0.30659,0.81077,0.00159212,0.00159212,0.00159212
105,459.06,0.61788,0.65484,0.05238,0.34646,0.8386,0.99969,1,0.995,0.8864,0.98462,0.98492,0.98845,0.87564,0.54815,0.5758,0.00504,0.31098,0.81145,0.00158816,0.00158816,0.00158816
106,463.448,0.60643,0.71772,0.05509,0.34301,0.83234,0.99969,1,0.995,0.8825,0.99467,0.99497,0.9947,0.86013,0.58151,0.63304,0.00635,0.30332,0.81585,0.0015842,0.0015842,0.0015842
107,467.812,0.59336,0.60462,0.03808,0.33181,0.83257,0.99963,1,0.995,0.8845,0.98958,0.98995,0.98671,0.85383,0.56057,0.59728,0.00407,0.29755,0.80981,0.00158024,0.00158024,0.00158024
108,472.19,0.58022,0.66907,0.05214,0.33723,0.83152,0.99969,1,0.995,0.88533,0.97959,0.9799,0.98323,0.87108,0.57393,0.57484,0.0049,0.31322,0.82203,0.00157628,0.00157628,0.00157628
109,476.569,0.59978,0.62942,0.03595,0.34239,0.8303,0.99969,1,0.995,0.87391,0.98964,0.98995,0.99055,0.86276,0.60029,0.6136,0.00398,0.32962,0.81373,0.00157232,0.00157232,0.00157232
110,480.962,0.60211,0.63447,0.04743,0.3391,0.83072,0.99969,1,0.995,0.89182,0.98964,0.98995,0.9917,0.88718,0.56268,0.57392,0.00559,0.30598,0.80576,0.00156836,0.00156836,0.00156836
111,485.34,0.58005,0.67058,0.04457,0.33773,0.82023,0.99971,1,0.995,0.88891,0.98463,0.98492,0.9869,0.87771,0.55047,0.6006,0.00444,0.30233,0.80734,0.0015644,0.0015644,0.0015644
112,489.71,0.60247,0.63041,0.03672,0.34297,0.82656,0.99974,1,0.995,0.88655,0.99471,0.99497,0.9946,0.87086,0.56458,0.61313,0.00435,0.30613,0.80559,0.00156044,0.00156044,0.00156044
113,494.086,0.60706,0.61218,0.04089,0.33568,0.8306,0.99967,1,0.995,0.88619,0.98962,0.98995,0.98646,0.85119,0.53697,0.61738,0.00453,0.30052,0.80883,0.00155648,0.00155648,0.00155648
114,498.509,0.56861,0.57171,0.03542,0.31891,0.82284,0.99968,1,0.995,0.87974,0.98963,0.98995,0.98848,0.86651,0.55767,0.61476,0.00396,0.3092,0.81133,0.00155252,0.00155252,0.00155252
115,502.884,0.57644,0.62754,0.04354,0.3284,0.82962,0.9997,1,0.995,0.88379,0.98465,0.98492,0.98516,0.84611,0.55038,0.60938,0.00581,0.29004,0.80839,0.00154856,0.00154856,0.00154856
116,507.257,0.57155,0.55021,0.03913,0.32168,0.82366,0.99969,1,0.995,0.89139,0.98964,0.98995,0.98621,0.87597,0.53513,0.55484,0.0045,0.28496,0.80576,0.0015446,0.0015446,0.0015446
