epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,394.492,0.34856,1.17609,0.31967,0.26851,0.85865,0.99869,1,0.995,0.98082,0.99869,1,0.995,0.93341,0.24996,0.3478,0.08558,0.20879,0.78651,0.00158816,0.00158816,0.00158816
106,398.231,0.34586,1.25805,0.32288,0.26513,0.8697,0.99935,1,0.995,0.98291,0.99935,1,0.995,0.95841,0.22479,0.29028,0.07985,0.19964,0.78398,0.0015842,0.0015842,0.0015842
107,402.003,0.33565,1.12429,0.32046,0.25778,0.86485,0.99925,1,0.995,0.98263,0.99925,1,0.995,0.95625,0.22447,0.3031,0.0787,0.19524,0.78285,0.00158024,0.00158024,0.00158024
108,405.765,0.32523,1.06317,0.32645,0.2555,0.85807,0.99899,1,0.995,0.9773,0.99899,1,0.995,0.92227,0.22203,0.35456,0.07947,0.20667,0.78398,0.00157628,0.00157628,0.00157628
109,409.526,0.34626,1.09142,0.29833,0.26148,0.85773,0.99905,1,0.995,0.98474,0.99905,1,0.995,0.93544,0.23781,0.33243,0.07268,0.21472,0.78539,0.00157232,0.00157232,0.00157232
110,413.284,0.34092,1.19085,0.31904,0.26844,0.86776,0.99911,1,0.995,0.98316,0.99911,1,0.995,0.95927,0.23444,0.29788,0.07683,0.20245,0.78573,0.00156836,0.00156836,0.00156836
111,417.056,0.34112,1.13234,0.31003,0.26959,0.85829,0.99922,1,0.995,0.98168,0.99922,1,0.995,0.95167,0.22764,0.31756,0.07672,0.19431,0.78467,0.0015644,0.0015644,0.0015644
112,420.82,0.32311,1.06608,0.28531,0.25467,0.85227,0.99907,1,0.995,0.97966,0.99907,1,0.995,0.95059,0.22831,0.30933,0.07417,0.20435,0.78647,0.00156044,0.00156044,0.00156044
113,424.585,0.32281,1.08701,0.30276,0.25044,0.85537,0.99964,1,0.995,0.98348,0.99964,1,0.995,0.96959,0.2256,0.28931,0.0733,0.19275,0.78385,0.00155648,0.00155648,0.00155648
114,428.347,0.31068,1.00648,0.30062,0.24187,0.8434,0.99959,1,0.995,0.98327,0.99959,1,0.995,0.95086,0.22028,0.30495,0.07867,0.18971,0.78041,0.00155252,0.00155252,0.00155252
115,432.096,0.32273,1.05432,0.3012,0.25044,0.85535,0.99967,1,0.995,0.98295,0.99967,1,0.995,0.96568,0.22508,0.30204,0.07822,0.19483,0.78316,0.00154856,0.00154856,0.00154856
116,435.86,0.33306,1.03772,0.28734,0.25718,0.84832,0.99964,1,0.995,0.98724,0.99964,1,0.995,0.95512,0.22406,0.29619,0.07514,0.19585,0.7807,0.0015446,0.0015446,0.0015446
117,439.613,0.31663,0.98615,0.30918,0.25593,0.84409,0.99966,1,0.995,0.98286,0.99966,1,0.995,0.96052,0.23644,0.27404,0.07123,0.19821,0.78739,0.00154064,0.00154064,0.00154064
118,443.351,0.34323,1.12627,0.32027,0.26102,0.86676,0.99747,1,0.995,0.98756,0.99747,1,0.995,0.96386,0.20702,0.28079,0.07905,0.19526,0.78489,0.00153668,0.00153668,0.00153668
119,447.093,0.34197,1.09676,0.32765,0.25833,0.86779,0.99909,1,0.995,0.98633,0.99909,1,0.995,0.94468,0.22002,0.29083,0.07374,0.19294,0.78247,0.00153272,0.00153272,0.00153272
120,450.826,0.34104,1.059,0.28866,0.25719,0.85254,0.99907,1,0.995,0.98189,0.99907,1,0.995,0.96199,0.21819,0.2789,0.06053,0.20115,0.78419,0.00152876,0.00152876,0.00152876
121,454.579,0.33119,1.17171,0.29335,0.26347,0.85437,0.99941,1,0.995,0.98242,0.99941,1,0.995,0.93157,0.22339,0.32684,0.06481,0.20951,0.78496,0.0015248,0.0015248,0.0015248
